user_pseudo_id,session_id,session_start,session_end,session_duration_sec,event_count,event_types,platform,traffic_source,traffic_medium,device_category,operating_system,country,region
29166028.3797071829,1,2021-01-31T21:24:08.888962+00:00,2021-01-31T21:24:08.892128+00:00,0,4,"[""first_visit"", ""session_start"", ""page_view""]",WEB,google,organic,mobile,Web,United States,Virginia
7608113.4160811427,1,2021-01-21T01:17:14.147922+00:00,2021-01-21T01:18:02.801738+00:00,48,7,"[""view_promotion"", ""page_view"", ""first_visit"", ""session_start"", ""user_engagement"", ""scroll""]",WEB,(direct),(none),desktop,Web,China,Zhejiang
4482460.5528133026,2,2020-11-24T14:41:32.730403+00:00,2020-11-24T14:41:32.730403+00:00,0,2,"[""session_start"", ""user_engagement""]",WEB,<Other>,referral,desktop,Macintosh,United States,Florida
30838968.4091470192,1,2021-01-12T12:13:40.110142+00:00,2021-01-12T12:13:45.152482+00:00,5,5,"[""page_view"", ""first_visit"", ""view_promotion"", ""session_start""]",WEB,<Other>,referral,desktop,Windows,United States,California
11537201.6078745866,1,2021-01-31T18:47:47.500993+00:00,2021-01-31T18:48:11.385324+00:00,23,6,"[""session_start"", ""scroll"", ""page_view"", ""first_visit"", ""user_engagement""]",WEB,(direct),(none),mobile,iOS,Indonesia,Central Java
7727122.5659622546,1,2021-01-26T20:50:43.261284+00:00,2021-01-26T20:50:46.134537+00:00,2,6,"[""session_start"", ""page_view"", ""user_engagement"", ""view_item"", ""first_visit""]",WEB,(direct),(none),desktop,Web,China,Shanghai
7320117.3782518174,2,2020-12-16T23:54:34.856581+00:00,2020-12-16T23:54:34.856581+00:00,0,2,"[""page_view"", ""session_start""]",WEB,(data deleted),(data deleted),desktop,Web,United States,Michigan
2695885.0509877838,1,2020-11-14T00:39:11.413115+00:00,2020-11-14T01:07:42.653414+00:00,1711,6,"[""view_promotion"", ""session_start"", ""first_visit"", ""page_view"", ""user_engagement"", ""scroll""]",WEB,(direct),(none),mobile,Android,United States,Florida
40034252.1552762240,2,2020-11-18T14:28:19.106035+00:00,2020-11-18T14:29:54.538419+00:00,95,4,"[""page_view"", ""session_start"", ""user_engagement"", ""view_item""]",WEB,(direct),(none),desktop,Web,United States,California
89399701.7924237711,1,2020-12-10T07:33:40.140725+00:00,2020-12-10T07:33:43.665731+00:00,3,4,"[""page_view"", ""session_start"", ""first_visit"", ""user_engagement""]",WEB,(direct),(none),desktop,Web,United States,Virginia
9280385.4087223152,1,2021-01-09T16:51:48.631114+00:00,2021-01-09T16:53:54.338777+00:00,125,17,"[""view_promotion"", ""user_engagement"", ""page_view"", ""session_start"", ""first_visit"", ""scroll""]",WEB,<Other>,<Other>,desktop,Web,Qatar,Doha
65112072.2148895086,1,2020-12-06T03:13:48.850859+00:00,2020-12-06T03:16:19.521276+00:00,150,11,"[""view_promotion"", ""first_visit"", ""user_engagement"", ""scroll"", ""session_start"", ""page_view""]",WEB,(direct),(none),mobile,iOS,India,Punjab
58276929.6976032342,1,2021-01-07T11:39:25.632126+00:00,2021-01-07T11:39:42.998773+00:00,17,7,"[""session_start"", ""page_view"", ""scroll"", ""first_visit"", ""view_promotion"", ""user_engagement""]",WEB,<Other>,<Other>,desktop,Web,United States,Mississippi
5065985.7082353378,1,2020-12-08T03:44:17.561181+00:00,2020-12-08T03:44:35.925933+00:00,18,7,"[""session_start"", ""view_promotion"", ""page_view"", ""user_engagement"", ""first_visit""]",WEB,google,organic,mobile,Android,United States,California
6634565024.9479397665,1,2020-11-03T11:20:19.292766+00:00,2020-11-03T11:21:11.363751+00:00,52,4,"[""page_view"", ""first_visit"", ""user_engagement"", ""session_start""]",WEB,(direct),(none),desktop,Macintosh,United States,Pennsylvania
31390074.0930160502,1,2021-01-22T10:29:31.285549+00:00,2021-01-22T10:30:24.236315+00:00,52,8,"[""scroll"", ""session_start"", ""view_promotion"", ""page_view"", ""first_visit""]",WEB,google,organic,mobile,iOS,United States,Florida
5402577.5065958673,1,2020-12-03T06:05:52.333871+00:00,2020-12-03T06:05:57.262452+00:00,4,4,"[""first_visit"", ""page_view"", ""session_start"", ""user_engagement""]",WEB,google,organic,desktop,Web,United States,Florida
28064521.5776173193,2,2021-01-26T13:32:02.570736+00:00,2021-01-26T13:32:11.321532+00:00,8,4,"[""session_start"", ""user_engagement"", ""page_view""]",WEB,google,cpc,mobile,iOS,Poland,Masovian Voivodeship
